ERewMean,EpLenMean,EpRewMean,EpRewOther,EpThisIter,EpisodesSoFar,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
2.0204897,247.8,500.65,11013.839,13,1292,373.2585771083832,325573,0.0,1.1684046,0.9995700563595165,0.0009938254,0.0044201864,0.0044201864
2.0329585,247.975,504.05,11005.557,12,1304,376.6469359397888,328539,0.0,1.1686183,0.9997569591650972,0.0010003623,0.005501855,0.005501855
2.0102806,247.475,497.55,11062.443,13,1317,379.4573304653168,331743,0.0,1.1633905,0.9844586923718452,0.000938217,0.0032540876,0.0032540876
2.013105,247.3,497.9,11054.289,12,1329,382.3651180267334,334712,0.0,1.1550363,0.9940964384004474,0.00084637944,0.0027865034,0.0027865034
2.0200183,246.875,498.75,11106.0625,12,1341,385.17093229293823,337673,0.0,1.1620156,0.9978802530094981,0.00060092425,0.0033623725,0.0033623725
2.0309107,247.15,501.95,11098.918,13,1354,388.02365946769714,340894,0.0,1.1599725,0.9996987996564712,0.0009237197,0.0031481988,0.0031481988
2.0329845,247.025,502.2,11104.821,12,1366,390.84738540649414,343854,0.0,1.1497585,0.9917934229597449,0.00088428525,0.0025875755,0.0025875755
2.0272956,247.375,501.5,11005.017,13,1379,393.6137487888336,347077,0.0,1.1485053,0.9979906727094203,0.00080753124,0.0025526616,0.0025526616
2.0256696,247.475,501.3,10970.872,12,1391,396.35412549972534,350052,0.0,1.1456212,0.9995526605925988,0.00092927244,0.0048114196,0.0048114196
2.0248826,248.475,503.05,10969.887,12,1403,399.1766097545624,353049,0.0,1.1458198,0.9998579526727553,0.000748477,0.004848101,0.004848101
2.0175676,248.925,502.15,10875.43,13,1416,402.0498888492584,356287,0.0,1.1442267,0.9998991232569097,0.0009965162,0.005845903,0.005845903
2.021584,248.675,502.65,10888.781,12,1428,404.8321805000305,359255,0.0,1.14612,0.999932278173219,0.0009577801,0.00598092,0.00598092
2.0345275,247.875,504.25,10895.39,13,1441,407.6030716896057,362467,0.0,1.1443554,0.9999183627733146,0.0010028165,0.0068730875,0.0068730875
2.0359209,246.85,502.55,10884.185,12,1453,410.3836929798126,365410,0.0,1.1418236,0.9910935461521149,0.00060282456,0.0034941982,0.0034941982
2.0217023,245.825,497.1,10894.612,13,1466,413.1500446796417,368595,0.0,1.1408776,0.9866208154708147,0.0007471412,0.004890707,0.004890707
1.9935879,246.75,491.5,10943.82,12,1478,434.83078265190125,371595,0.0,1.1411527,0.9903799574822187,0.0010317825,0.0038307877,0.0038307877
1.9994991,247.325,494.1,10918.895,12,1490,437.6758008003235,374565,0.0,1.1395853,0.9975370271131396,0.00074011664,0.0027722176,0.0027722176
2.0251775,247.65,500.95,10971.997,13,1503,440.38725233078003,377763,0.0,1.1374732,0.9990257302997634,0.00086022523,0.0021302754,0.0021302754
2.030152,246.25,500.0,10955.678,12,1515,443.08612084388733,380711,0.0,1.138253,0.9916599504649639,0.0007972121,0.0028632206,0.0028632206
2.0506392,245.95,504.35,10925.367,13,1528,445.7711236476898,383906,0.0,1.1316922,0.9980336471926421,0.00090693036,0.0054674684,0.0054674684
2.0518405,245.875,504.5,10904.637,12,1540,448.478182554245,386860,0.0,1.143006,0.9997236350609455,0.00092210993,0.003897445,0.003897445
2.0623949,246.175,507.65,10883.55,13,1553,451.2100851535797,390064,0.0,1.1376868,0.9998702677694382,0.0009264746,0.004399155,0.004399155
2.0628028,246.15,507.7,10899.435,12,1565,453.9113435745239,393010,0.0,1.1382768,0.9999251970730256,0.0009938285,0.0058770124,0.0058770124
