EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,RewMean,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain
682.875,-89.52153,3,188,-0.18454637,273.21918535232544,108267,0.0,1.1760046,0.9241866171360016,0.015134126,0.004792547,0.004792547
707.55,-89.989,3,191,-0.17640439,275.9182779788971,110431,0.0,1.20293,0.7703594267368317,0.005494175,0.024523593,0.024523593
691.025,-89.336525,5,196,-0.18129763,278.61382246017456,112427,0.0,1.2545563,0.9841547161340714,0.0076343543,0.008034887,0.008034887
676.775,-91.91152,4,200,-0.18441623,281.48941469192505,114441,0.0,1.2474763,0.9087891131639481,0.006982526,0.0064436747,0.0064436747
665.125,-94.74652,4,204,-0.18724003,284.3118419647217,116518,0.0,1.247242,0.9663186371326447,0.021037038,0.006550761,0.006550761
633.575,-99.591545,3,207,-0.20130715,287.1253128051758,117723,0.0,1.2443846,0.6210419535636902,0.019595066,0.008454031,0.008454031
667.575,-102.99153,3,210,-0.20809741,289.8299605846405,120741,0.0,1.2343351,0.8228642642498016,0.004578514,0.0029795014,0.0029795014
668.825,-100.427444,2,212,-0.20473142,292.6409113407135,122015,0.0,1.1759461,0.8550771325826645,0.016465744,0.01047265,0.01047265
704.475,-99.99239,2,214,-0.20364861,331.40534567832947,124608,0.0,1.1630044,0.9810420498251915,0.0043589766,0.008467741,0.008467741
682.35,-96.830284,3,217,-0.19914778,334.1786730289459,126475,0.0,1.1978862,0.9515962302684784,0.0074220942,0.008159982,0.008159982
617.65,-92.7646,3,220,-0.19710779,337.05285120010376,128501,0.0,1.2208228,0.9904853515326977,0.010157932,0.005588805,0.005588805
621.925,-85.192116,3,223,-0.1819168,339.918621301651,130524,0.0,1.2787668,0.9940791935659945,0.010153027,0.011164596,0.011164596
648.05,-81.21423,3,226,-0.16508566,342.7602677345276,132769,0.0,1.3609015,0.788386732339859,0.019188412,0.0052653947,0.0052653947
650.825,-78.49174,2,228,-0.15836506,345.6560869216919,134300,0.0,1.3845819,0.9549476392567158,0.007821472,0.00272502,0.00272502
668.5,-79.25922,3,231,-0.15430327,348.3978371620178,137171,0.0,1.4209284,0.9814937580376863,0.0043265466,0.0050150426,0.0050150426
