eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
138.04,-175.3264245,0.3479570746421814,1566,2800,39.369964599609375,14000,5.572125155595131e-05
137.95,-176.56668949,0.004688918590545654,1571,2900,39.41181945800781,14500,624.748291015625
138.65,-174.53798846,-19.784753799438477,1574,3000,39.45474624633789,15000,1.5386822269647382e-06
138.38,-174.89596037999996,0.23019009828567505,1578,3100,39.48373794555664,15500,5.775628233095631e-05
138.78,-173.34121776,0.5866352915763855,1582,3200,39.514198303222656,16000,2.559618224040605e-07
139.21,-170.20309189,4.172325134277344e-07,1585,3300,39.562538146972656,16500,2.0017812857986428e-05
139.21,-170.23848013999998,-621.3031616210938,1588,3400,39.59298324584961,17000,5.106184744363418e-06
139.53,-168.77313310999997,1.2636184692382812e-05,1590,3500,39.63983917236328,17500,2908.42041015625
140.13,-165.43768840000004,-1.8314402103424072,1593,3600,39.68708419799805,18000,1.2182594218757004e-05
140.11,-165.68698516000003,-0.142988920211792,1597,3700,39.736934661865234,18500,8.2854256788778e-07
140.08,-165.63567721000004,0.0021831393241882324,1600,3800,39.76708221435547,19000,7.689396443311125e-05
139.78,-167.29019277999998,0.2693890333175659,1602,3900,39.81037902832031,19500,4.686028842115775e-05
139.99,-167.24295566,0.7122901082038879,1605,4000,39.836143493652344,20000,9.29185171116842e-06
140.47,-164.05257740000002,0.31944745779037476,1607,4100,39.86736297607422,20500,3.81351746909786e-05
140.24,-167.33304927999995,0.35881006717681885,1609,4200,39.885128021240234,21000,5.5942531616892666e-05
139.92,-167.52143074,0.006018400192260742,1611,4300,39.91743469238281,21500,1021.1267700195312
140.0,-167.42272557,0.926853857934475,1613,4400,39.93722915649414,22000,1.088959561457159e-05
140.55,-165.59682709,0.9552675187587738,1614,4500,39.98003387451172,22500,1.8120875893146149e-06
140.7,-165.56593108999996,0.004837214946746826,1616,4600,40.00679016113281,23000,0.0001134486956289038
139.88,-168.93408706,0.7941940575838089,1618,4700,40.0406379699707,23500,4.541924226941774e-06
139.32,-170.66603795999995,0.005800366401672363,1619,4800,40.070255279541016,24000,2.8877824661321938e-05
138.62,-173.94236345,0.0001462101936340332,1621,4900,40.111263275146484,24500,19809.16015625
138.71,-173.5770393,0.6605781614780426,1622,5000,40.151432037353516,25000,1.1336072930134833e-05
138.65,-173.56420698,-0.0027484893798828125,1622,5100,40.19644546508789,25500,7129.21875
139.28,-172.43850508,0.0,1624,5200,40.2424201965332,26000,4.579654341796413e-05
138.62,-175.84040897,-7.152557373046875e-07,1623,5300,40.28546142578125,26500,8.017305663088337e-05
139.71,-171.03375406000004,-0.0019077062606811523,1624,5400,40.329830169677734,27000,7125.9853515625
139.71,-171.2172562,0.0326695442199707,1626,5500,40.38246536254883,27500,0.00011678408918669447
140.15,-169.80960307,0.4353487491607666,1627,5600,40.43035888671875,28000,2.7803334887721576e-05
139.98,-170.22730726999998,0.005383789539337158,1628,5700,40.48729705810547,28500,439.16302490234375
139.61,-170.69205597999996,0.16949057579040527,1629,5800,40.527496337890625,29000,1.5949339285725728e-05
139.61,-172.10770155000003,0.8661337643861771,1630,5900,40.569339752197266,29500,1.7697280782158487e-05
138.99,-175.45768736999997,0.5549143552780151,1631,6000,40.60769271850586,30000,2.8827751521021128e-05
138.65,-177.47738782,0.010147452354431152,1631,6100,40.65022277832031,30500,0.00013364412006922066
138.76,-176.04079159,0.8765721470117569,1629,6200,40.680511474609375,31000,5.6532408052589744e-06
138.39,-177.45918579999997,0.8131673783063889,1630,6300,40.70738983154297,31500,6.8418025875871535e-06
138.74,-176.16641915,0.3056669235229492,1631,6400,40.745872497558594,32000,6.963607302168384e-05
139.31,-174.26970303000002,0.008488953113555908,1632,6500,40.78251266479492,32500,2.22286826101481e-06
139.23,-174.72979609,0.8129385560750961,1633,6600,40.81544876098633,33000,8.12342477729544e-08
139.09,-176.13689791000002,0.8962288573384285,1634,6700,40.84062957763672,33500,3.4336201224505203e-06
139.96,-171.61639719,-29.685823440551758,1635,6800,40.86697769165039,34000,2.4248160116258077e-05
139.3,-173.47621588,0.0006414651870727539,1636,6900,40.89548110961914,34500,4.9021698941942304e-05
139.28,-171.99133580999998,0.018032550811767578,1637,7000,40.94029235839844,35000,0.00013506007962860167
139.59,-170.20860106999996,0.939432181417942,1637,7100,40.986114501953125,35500,7.160248287618742e-07
139.77,-168.68842972,0.005850374698638916,1638,7200,41.028194427490234,36000,5.94667908444535e-05
139.3,-171.82405027000001,0.0759967565536499,1639,7300,41.04601287841797,36500,0.00010212323104497045
139.3,-171.74096154000003,0.7076265811920166,1640,7400,41.06826400756836,37000,2.676355143194087e-05
140.0,-169.87986185000003,-82.1259994506836,1641,7500,41.097801208496094,37500,1.0080388165079057e-05
139.5,-172.89780909,0.7106298506259918,1642,7600,41.13395690917969,38000,9.269878319173586e-06
139.96,-169.56694667000002,-3.5762786865234375e-07,1643,7700,41.16083908081055,38500,12232.138671875
139.93,-169.62555557,0.9377151913940907,1643,7800,41.18871307373047,39000,6.620187832595548e-06
140.24,-167.98936873000002,0.0019778013229370117,1644,7900,41.21269607543945,39500,6.008896161802113e-05
139.34,-167.90501610000004,0.8077879250049591,1645,8000,41.23863220214844,40000,2.1181585907470435e-07
