obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_std,total/episodes,total/epochs,total/steps,train/loss_actor,train/loss_critic
0.0,1.0,0.19605920988138417,-10.220858573913574,0.11967668682336807,-1.0,0.0,-10.215532302856445,0.11983252316713333,0.9998494386672974,0.0007831269176676869,1899.1363636363637,110.0,-231.38133239746094,83.46626281738281,110.0,105,210000,13.881390571594238,16.93377113342285
0.0,1.0,0.18469664449646242,-9.868690490722656,0.10151243954896927,-1.0,0.0,-9.766636848449707,0.10872425884008408,-0.6466245651245117,0.09638329595327377,1900.045045045045,111.0,-232.9609375,84.72496032714844,111.0,106,212000,12.877289772033691,0.4218641221523285
0.0,1.0,0.18105739093859663,-9.35940933227539,0.13114796578884125,-1.0,0.0,-9.113082885742188,0.1264798790216446,-0.9998749494552612,3.121456757071428e-05,1900.9375,112.0,-232.66661071777344,84.40281677246094,112.0,107,214000,11.968504905700684,16.124101638793945
0.0,1.0,0.18840904705084133,-10.25718879699707,0.028362641111016273,-1.0,0.0,-10.2655668258667,0.029720742255449295,-0.9999924302101135,2.0440950265765423e-06,1901.8141592920354,113.0,-232.3775634765625,84.08419799804688,113.0,108,216000,13.33270263671875,1.9422743320465088
0.0,1.0,0.2,-10.392843246459961,0.03152105584740639,-1.0,0.0,-10.36945915222168,0.033305540680885315,-0.9987694621086121,0.0003616016765590757,1902.6754385964912,114.0,-232.0935821533203,83.7690200805664,114.0,109,218000,13.6466703414917,6.918323516845703
0.0,1.0,0.2,-10.080365180969238,0.041323110461235046,-1.0,0.0,-10.079116821289062,0.0408908948302269,-0.9999955892562866,1.055013740369759e-06,1903.5217391304348,115.0,-231.81454467773438,83.45719909667969,115.0,110,220000,13.363836288452148,15.02249526977539
0.0,1.0,0.19605920988138417,-9.830024719238281,0.03939482569694519,-1.0,0.0,-9.837200164794922,0.03850909322500229,-0.9999409317970276,1.0125747394340578e-05,1904.353448275862,116.0,-231.54031372070312,83.14872741699219,116.0,111,222000,11.898918151855469,0.888898491859436
0.0,1.0,0.18840904705084133,-9.857796669006348,0.039384275674819946,-1.0,0.0,-9.727700233459473,0.06121710687875748,0.05381421744823456,0.30764368176460266,1905.1709401709402,117.0,-231.27076721191406,82.843505859375,117.0,112,224000,12.04918098449707,83.56205749511719
0.0,1.0,0.208120802,-9.677160263061523,0.07430204749107361,-1.0,0.0,-9.732542991638184,0.07444823533296585,-0.9999990463256836,2.391160478509846e-07,1905.9745762711864,118.0,-231.00579833984375,82.54150390625,118.0,113,226000,12.09078598022461,69.96355438232422
0.0,1.0,0.2209244250822409,-9.207193374633789,0.040986064821481705,-1.0,0.0,-9.206546783447266,0.04356968030333519,-0.9995690584182739,0.0001240758429048583,1906.764705882353,119.0,-230.74526977539062,82.24266052246094,119.0,114,228000,11.783326148986816,2.3667426109313965
