eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
97.05,-277.07942914999995,0.8460229337215424,1207,3300,2.183671474456787,3.6608612537384033,66000,4.000555992126465
97.13,-276.91052429999996,0.8523039519786835,1207,3400,2.158083438873291,-17.36433219909668,68000,108.092041015625
96.96,-277.02424506999995,-0.0002391338348388672,1207,3500,2.089042901992798,-264.574951171875,70000,20801.38671875
97.74,-275.60959912,0.27542269229888916,1208,3600,2.0956368446350098,-3.297975778579712,72000,9.280556678771973
98.64,-274.29523188,0.9719547424465418,1209,3700,2.1953494548797607,1.9064583778381348,74000,0.9552488327026367
99.81,-272.38055129,0.29454290866851807,1210,3800,2.21237850189209,10.843424797058105,76000,30.14987564086914
100.17,-271.47462553,0.0,1210,3900,2.220320701599121,-32.77512741088867,78000,1429.8441162109375
100.49,-270.41787475,0.9915247159078717,1211,4000,2.267906427383423,0.041763003915548325,80000,0.04559924826025963
100.16,-270.47872821,0.8152772635221481,1212,4100,2.3620991706848145,3.3275279998779297,82000,3.4280152320861816
100.32,-269.60887148999996,5.960464477539063e-08,1212,4200,2.382633686065674,16.476106643676758,84000,52.491859436035156
99.99,-270.15207119999997,0.09691381454467773,1212,4300,2.433469295501709,8.232949256896973,86000,18.33526039123535
100.87,-268.18125268999995,0.9403941668570042,1212,4400,2.4577155113220215,9.087239265441895,88000,22.19283676147461
101.96,-265.6517701,0.9896810073405504,1212,4500,2.4651529788970947,0.606130838394165,90000,0.12633277475833893
103.15,-263.12325039,0.9886351516470313,1213,4600,2.4834117889404297,1.2903212308883667,92000,0.22116407752037048
104.31,-260.60104664,0.37703150510787964,1214,4700,2.4814627170562744,13.285642623901367,94000,33.38990783691406
105.23,-257.86676886,0.47412288188934326,1214,4800,2.5369629859924316,-2.1350936889648438,96000,6.368093490600586
106.06,-255.37816998999998,0.9865975538268685,1215,4900,2.535069465637207,-0.9869883060455322,98000,0.216739222407341
106.86,-253.71009393999998,-3.2186508178710938e-06,1214,5000,2.5164077281951904,-221.5001678466797,100000,15725.203125
